#,Fuar/Platform Adı,URL,Sayfa Sayısı Gereksinimi,Scraping Fonksiyonu,Notlar
1,Replast Eurasia,"https://replasteurasia.com/katilimci-listesi; https://replasteurasia.com/katilimci-listesi?page=1",Hayır,scrape_replast_all_pages(url),
2,Win Eurasia,"https://platform.win-eurasia.com/participants?page=1; https://platform.win-eurasia.com/participants; https://platform.win-eurasia.com/participants?new; https://platform.win-eurasia.com/participants?new&lang=tr",Evet,scrape_win_eurasia_all_pages(url int(sayfa_sayisi)),
3,Packaging Fair,https://packagingfair.com/katilimci-listesi,Evet,scrape_packaging_fair(int(sayfa_sayisi)),
4,Konya Tarım Fuarı,"https://www.konyatarimfuari.com/katilimci-listesi; https://www.konyatarimfuari.com/katilimci-listesi?page=1",Hayır,scrape_burtarim_fair(url),
5,Teknopark İstanbul,https://www.teknoparkistanbul.com.tr/firmalar,Hayır,,"Scraping fonksiyonu yok"
6,Hub of Warehouse,"https://platform.hubofwarehouse.com/participants?page=1; https://platform.hubofwarehouse.com/participants; https://platform.hubofwarehouse.com/participants?new; https://platform.hubofwarehouse.com/participants?new&lang=tr",Evet,scrape_how_all_pages(url int(sayfa_sayisi)),
7,Sodex,"https://platform.sodex.com.tr/participants?new&lang=en; https://platform.sodex.com.tr/participants; https://platform.sodex.com.tr/participants?new; https://platform.sodex.com.tr/participants?page=1",Evet,scrape_sodex_all_pages(url int(sayfa_sayisi)),
8,Automechanika Istanbul Plus,"https://automechanikaistanbulplus.com/participants?new&lang=en; https://automechanikaistanbulplus.com/participants; https://automechanikaistanbulplus.com/participants?new; https://automechanikaistanbulplus.com/participants?page=1",Evet,scrape_automechanika_all_pages(int(sayfa_sayisi)),
9,Avrasya Pencere Fuarı,"https://www.avrasyapencerefuari.com/katilimci-listesi; https://www.avrasyapencerefuari.com/katilimci-listesi?page=1",Hayır,scrape_pencere_all_pages(url),
10,SMTech Eurasia,"https://smtech-eurasia.com/katilimci-listesi; https://smtech-eurasia.com/katilimci-listesi?page=1",Hayır,scrape_smtech_eurasia_all_pages(url),
11,Plast Eurasia,https://plasteurasia.com/katilimci-listesi,Evet,scrape_plast_eurasia_all_pages(int(sayfa_sayisi)),
12,Intermob Istanbul,https://www.intermobistanbul.com/katilimci-listesi,Evet,scrape_intermob_all_pages(int(sayfa_sayisi)),
13,Woodtech Istanbul,https://www.woodtechistanbul.com/katilimci-listesi,Evet,scrape_woodtech_all_pages(int(sayfa_sayisi)),
14,Expomed Istanbul,"https://expomedistanbul.com/katilimci-listesi; https://expomedistanbul.com/katilimci-listesi?page=1",Hayır,scrape_replast_all_pages(url),
15,İplik Fuarı,"https://iplikfuari.com/katilimci-listesi; https://iplikfuari.com/katilimci-listesi?page=1",Hayır,scrape_iplikfuari_all_pages(url),
16,Maktek Fuarı,"https://maktekfuari.com/katilimci-listesi; https://maktekfuari.com/katilimci-listesi?page=1",Hayır,scrape_maktek_all_pages(url),
17,EV Charge Show,https://www.evchargeshow.com/exhibitor,Hayır,scrape_evchargeshow(),
18,ATech Fuarı,"https://atechfuari.com/firmalar/; https://atechfuari.com/firmalar",Hayır,scrape_atechfuari(),
19,Kalite Fuarı,"https://kalitefuari.com/katilimci-listesi/; https://kalitefuari.com/katilimci-listesi",Hayır,scrape_kalitefuari(),
20,Mobisadimex,"https://www.mobisadimex.com/2024-katilimci-listesi; https://www.mobisadimex.com/2024-katilimci-listesi/",Hayır,scrape_mobisadimex(),
21,Texhibitionist,https://www.texhibitionist.com/katilimcilar,Evet,scrape_texhibitionist_all_pages(int(sayfa_sayisi)),
22,Bauma,https://exhibitors.bauma.de/en/exhibitors-and-products/exhibitors-brand-names,Evet,scrape_bauma_all_exhibitors(int(sayfa_sayisi)),
23,ENOSAD - Proses Otomasyonu,https://enosad.org.tr/tr/proses-otomasyonu,Hayır,scrape_enosad_proses_all_members(),
24,ENOSAD - Fabrika Otomasyonu,https://enosad.org.tr/tr/fabrika-otomasyonu,Hayır,scrape_enosad_fabrika_all_members(),
25,ENOSAD - Robotik ve Mekatronik,https://enosad.org.tr/tr/robotik-ve-mekatronik,Hayır,scrape_enosad_robotik_all_members(),
26,ENOSAD - Sanayide Dijital Dönüşüm,https://enosad.org.tr/tr/sanayide-dijital-donusum,Hayır,scrape_enosad_sanayi_all_members(),
27,Roboder,https://uyeler.roboder.org.tr/,Hayır,scrape_roboder_all_members(),
28,InnoTrans,https://www.innotrans.de/en/visit/exhibitor-directory#/search/f=h-entity_orga;v_sg=0;v_fg=0;v_fpa=FUTURE,Evet,scrape_innotrans(),"Sayfa sayısı input var ama fonksiyona geçirilmiyor"

